PROJECT CODE,SASid,FAILURE TYPE,FAILURE CATEGORY,SUBCATEGORY,DATE,OBSERVING HOURS LOST,LST RANGE,IS THIS A REPEAT?  (Y/N),PI ACCEPTED DATA ANYWAY (Y/N),NOTES,THIS,COLUMN,IS ,ANNOYING
LC10_015,", 658992, 658996","huge data drop-outs of 9% and 51% (91 TABs, 20 subbands, 21 core stations)",COBALT,DATA-LOSS,2018-07-01,0.75,"01,06",N,N,"/maybe/ it's a spec error, but not yet verified (evening of Jul 2nd) ",,,,
LT10_010,"659508,659512,659518",100% flagging of more than 4 stations,STATION,TEMPERATURE,2018-07-04,8.33,4-12,N,N,High temperatures in the cabinets,,,,
LC10_010,"660292, 660296",100% flagging of 9 stations,STATION,TEMPERATURE,2018-07-17,8.33,7-15,N,N,High temperatures in the cabinets,,,,
LT10_005,"659074, 659078",oscillating tile in CS005,STATION,OSCILLATING,2018-07-05,2.00,0-2,N,N,oscillating tile in CS005,,,,
LT10_005,660402,wrong calibration table installed,HUMAN,FAULT,2018-07-19,1.00,22,N,N,Rescheduled August 16,,,,
LT10_012,"660752, 660756, 660762",6 stations dropped out (2 more on the edge) due to high temperatures,STATION,TEMPERATURE,2018-07-19,8.33,7-15,N,N,Rescheduled  September 13,,,,
LC10_010,"661088, 661090, 661096","100% flagging of 6 stations, more on the verge of overheating",STATION,TEMPERATURE,2018-07-20,8.33,7-15,N,N,High temperatures in the cabinets,,,,
DDT10_003,"L661160, L661164",Hardware failures,SYSTEM,TEMPERATURE,2018-07-22,2.00,22-00,N,N,"Rescheduled July 31, 2018, DDT10_003 HBA run4",,,,
LC10_008,L661474,"100% flagging of 5 stations and lightning storm, more on the verge of overheating",STATION,TEMPERATURE,2018-07-28,8.00,5-13,N,N,Rescheduled August 13th,,,,
LT10_005,"L660426, 660430, 661072, 660434,8, 660442, 660446, 660450, 660454, 660458",CS007 flagging because of a defect of an RSP,STATION,RSP,2018-07-28,10.00,"23-01,10-11,12-15,15-16,17-20,",N,N,Rescheduled,,,,
LT10_010,"659774, 659778,659782",,STATION,TEMPERATURE,2018-07-30,4.33,11-15,N,N,Currently not reschedulable. Possibly at the end of the cycle if LT10_002 delayed,,,,
DDT10_004,"661852, 661854, 661856, 661858",Remote and International stations were added by accident while scheduling,HUMAN,SETUP,2018-08-01,0.66,11,N,N,,,,,
LT10_010,"662448, 662452, 662458",Obs. were cancelled bacause of too many overheated Dutch stations,STATION,TEMPERATURE,2018-08-02,8.00,7-15,N,N,,,,,
LT10_010,"662434, 662438, 662444",Obs. were cancelled bacause of too many overheated Dutch stations,STATION,TEMPERATURE,2018-08-02,4.00,16-20,N,N,,,,,
LT10_010,"662420, 662424, 662430",Obs. were cancelled bacause of too many overheated Dutch stations,STATION,TEMPERATURE,2018-08-03,8.00,5-13,N,N,,,,,
LT10_005,"662768, 662772, 662776",100% of flagging for CS002HBA0,STATION,TEMPERATURE,2018-08-03,3.00,"18-19,01-03",N,N,,,,,
LT10_010,L662988/992/998,Obs. were cancelled bacause of too many overheated Dutch stations,STATION,TEMPERATURE,2018-08-06,4.00,9-13,Y,N,This is a repeat so won't be rescheduled this semester,,,,
LT10_010,L662974/978/984,Obs. were cancelled bacause of too many overheated Dutch stations,STATION,TEMPERATURE,2018-08-06,4.00,13-17,N,N,,,,,
LT10_004,663256/260/264/268/272/276/280/284/288/292/296/300/ 304/308/312/316/320/324/328/332/336/340/344/348,oscillating tile/high-noise ins CS017HBA1,STATION,OSCILLATING,2018-8-12,5.33,14-23,N,N,,,,,
LT10_010,664824/28/34,100% of flagging of 7stations,STATION,TEMPERATURE,2018-08-22,4.66,10-14,N,N,This run can not be re-scheduled later in the cycle unless LT10_002 shift,,,,
LT10_005,664690,oscillating tile in CS005HBA0,STATION,OSCILLATING,2018-08-26,1.00,17-18,N,N,,,,,
LT10_005,"665092, 665096",100% of flagging for CS004,STATION,DATA-LOSS,2018-08-29,2.00,16-18,N,N,,,,,
